time,mag,magType,nst,gap,dmin,rms,net,place,locationSource,magSource
2023-01-25T10:45:35.681Z,4.4,mb,36,132,2.463,0.6,us,Fiji region,us,us
2023-01-25T10:39:15.740Z,3.84,md,11,237,0.4645,0.46,pr,"15 km ESE of La Romana, Dominican Republic",pr,pr
2023-01-25T10:38:48.100Z,2.75,ml,84,150,0.1409,0.21,ci,"15km S of Malibu Beach, CA",ci,ci
2023-01-25T10:22:32.970Z,2.9,ml,91,151,0.1541,0.23,ci,"17km S of Malibu Beach, CA",ci,ci
2023-01-25T10:03:33.360Z,3.61,ml,127,134,0.1462,0.24,ci,"16km S of Malibu Beach, CA",ci,ci
2023-01-25T10:01:41.890Z,3.53,ml,84,46,0,0.12,ok,Oklahoma,ok,ok
2023-01-25T10:00:54.680Z,4.19,mw,155,134,0.1464,0.24,ci,"16km S of Malibu Beach, CA",ci,ci
2023-01-25T09:11:39.331Z,4.4,mb,41,159,0.694,0.63,us,"23 km NNW of Zorritos, Peru",us,us
2023-01-25T08:35:29.410Z,3.59,ml,58,182,,0.12,hv,"13 km ESE of Pāhala, Hawaii",hv,hv
2023-01-25T08:22:59.880Z,3.9,md,20,250,1.1237,0.39,pr,"107 km NNE of San Juan, Puerto Rico",pr,pr
2023-01-25T07:48:18.020Z,2.55,md,28,63,0.05615,0.02,nc,"13km SE of Mammoth Lakes, CA",nc,nc
2023-01-25T07:37:56.570Z,2.69000006,md,20,197,,0.100000001,hv,"Island of Hawaii, Hawaii",hv,hv
2023-01-25T06:46:52.520Z,3.63,md,20,207,0.2406,0.22,pr,"11 km NNE of Hatillo, Puerto Rico",pr,pr
2023-01-25T05:16:33.720Z,2.99,md,17,114,0.02335,0.11,pr,"2 km SSW of Hormigueros, Puerto Rico",pr,pr
2023-01-25T05:15:30.147Z,4.6,mwr,119,135,0.789,0.99,us,offshore El Salvador,us,us
2023-01-25T05:13:32.170Z,2.79,ml,36,70,0.1078,0.19,uu,"7 km SW of Corinne, Utah",uu,uu
2023-01-25T04:48:06.735Z,4.3,mb,28,172,0.698,0.85,us,"128 km W of Diego de Almagro, Chile",us,us
2023-01-25T04:36:25.080Z,3.68,md,18,182,0.1477,0.15,pr,"1 km S of Vega Baja, Puerto Rico",pr,pr
2023-01-25T03:57:48.845Z,4,mb,13,62,7.79,0.18,us,"33 km W of Taksimo, Russia",us,us
2023-01-25T03:35:20.562Z,4.6,mb,50,129,2.338,0.93,us,"40 km E of Cortes, Philippines",us,us
2023-01-25T01:47:20.640Z,2.53,md,32,83,0.02323,0.14,nc,"3km ESE of Ferndale, CA",nc,nc
2023-01-25T01:15:27.870Z,3.1,ml,,,,0.55,ak,"70 km SE of Pope-Vannoy Landing, Alaska",ak,ak
2023-01-25T01:12:51.415Z,4.1,mb,31,184,5.352,0.67,us,"118 km SSW of Żurrieq, Malta",us,us
2023-01-25T01:00:48.872Z,4.8,mwr,90,98,2.968,0.67,us,"61 km E of Namie, Japan",us,us
2023-01-25T00:51:39.960Z,2.5,ml,48,166,,0.109999999,hv,"10 km NE of Pāhala, Hawaii",hv,hv
2023-01-24T23:35:54.690Z,3.18,md,16,246,0.5575,0.17,pr,"62 km N of Culebra, Puerto Rico",pr,pr
2023-01-24T22:54:58.121Z,4.6,mb,79,105,5.195,0.64,us,"Bonin Islands, Japan region",us,us
2023-01-24T20:33:56.557Z,2.6,ml,25,56,0.041079185,0.2,tx,"54 km S of Whites City, New Mexico",tx,tx
2023-01-24T20:25:34.729Z,5.3,mww,127,70,5.221,0.57,us,"104 km S of Żurrieq, Malta",us,us
2023-01-24T20:17:57.728Z,5.3,mb,157,50,2.405,1.04,us,"192 km NW of Tobelo, Indonesia",us,us
2023-01-24T20:14:21.029Z,2.8,ml,25,69,0.04711597,0.2,tx,"56 km S of Whites City, New Mexico",tx,tx
2023-01-24T20:12:55.847Z,4.5,mb,46,72,2.173,0.76,us,"157 km NNW of Tobelo, Indonesia",us,us
2023-01-24T20:08:48.943Z,2.7,ml,15,69,0.03851601,0.2,tx,western Texas,tx,tx
2023-01-24T19:57:04.255Z,3.5,ml,19,57,0.039196911,0.2,tx,"55 km S of Whites City, New Mexico",tx,tx
2023-01-24T19:25:40.572Z,4.4,mb,48,108,2.231,1.05,us,"174 km NW of Tobelo, Indonesia",us,us
2023-01-24T19:08:29.504Z,4.5,mb,52,36,0.729,1.12,us,"102 km NNE of Calama, Chile",us,us
2023-01-24T18:37:00.133Z,6.4,mww,282,16,5.2,0.69,us,"31 km WSW of Campo Gallo, Argentina",us,us
2023-01-24T18:20:03.730Z,2.69,md,31,34,0.08307,0.14,nc,"9km SE of Rio Dell, CA",nc,nc
2023-01-24T16:56:19.490Z,2.47,ml,42,153,,0.150000006,hv,"3 km SW of Pāhala, Hawaii",hv,hv
2023-01-24T16:10:15.889Z,5.2,mww,71,83,2.99,0.63,us,"208 km NNE of Tobelo, Indonesia",us,us
2023-01-24T15:57:08.550Z,4.5,mb,78,103,3.135,0.48,us,"44 km NNW of Smirnykh, Russia",us,us
2023-01-24T15:30:01.067Z,2.6,ml,,,,0.39,ak,"12 km W of Clam Gulch, Alaska",ak,ak
2023-01-24T13:55:02.028Z,2.6,ml,,,,0.48,ak,"24 km NW of Nikiski, Alaska",ak,ak
2023-01-24T13:11:21.953Z,4.9,mb,74,104,2.314,0.76,us,"187 km NW of Tobelo, Indonesia",us,us
2023-01-24T13:07:04.210Z,3.3,ml,,,,0.64,ak,"11 km SE of Tyonek, Alaska",ak,ak
2023-01-24T12:27:22.450Z,3.82,md,10,322,1.0869,0.34,pr,"113 km NNE of Cruz Bay, U.S. Virgin Islands",pr,pr
2023-01-24T12:08:10.840Z,2.56,ml,41,211,,0.159999996,hv,"18 km ESE of Naalehu, Hawaii",hv,hv
2023-01-24T12:06:34.119Z,4.5,mb,49,105,2.068,0.67,us,"164 km NW of Tobelo, Indonesia",us,us
2023-01-24T11:57:52.254Z,4.4,mb,30,167,1.1,0.61,us,"125 km ESE of Petropavlovsk-Kamchatsky, Russia",us,us
2023-01-24T11:23:08.350Z,4.6,mwr,81,35,1.058,0.62,us,"138 km NNE of Calama, Chile",us,guc
2023-01-24T11:18:45.880Z,3.06,md,15,205,0.1452,0.27,pr,Mona Passage,pr,pr
2023-01-24T11:08:10.068Z,4.7,mb,47,84,2.058,0.33,us,"148 km NW of Tobelo, Indonesia",us,us
2023-01-24T09:58:51.620Z,3.15,ml,50,208,,0.129999995,hv,"17 km ESE of Naalehu, Hawaii",hv,hv
2023-01-24T09:52:54.610Z,2.68,ml,46,202,,0.140000001,hv,"17 km E of Naalehu, Hawaii",hv,hv
2023-01-24T09:17:32.440Z,2.74,md,8,160,0.1917,0.14,pr,"19 km SE of Esperanza, Puerto Rico",pr,pr
2023-01-24T08:58:32.284Z,5.6,mb,105,39,3.655,0.64,us,Nepal,us,us
2023-01-24T08:42:03.368Z,3.1,ml,,,,0.46,ak,"Kodiak Island region, Alaska",ak,ak
2023-01-24T08:38:00.450Z,2.47,md,15,220,0.05267,0.12,pr,"6 km SSE of Maria Antonia, Puerto Rico",pr,pr
2023-01-24T07:57:24.240Z,2.63,ml,48,203,,0.150000006,hv,"18 km E of Naalehu, Hawaii",hv,hv
2023-01-24T06:30:01.309Z,2.9,ml,,,,0.38,ak,"56 km ENE of Cordova, Alaska",ak,ak
2023-01-24T06:15:57.912Z,4.7,mb,36,148,0.971,0.46,us,"100 km SSW of ‘Ohonua, Tonga",us,us
2023-01-24T05:52:23.253Z,2.6,mb_lg,39,114,0.071,0.2,us,"3 km ENE of Freeport, Kansas",us,us
2023-01-24T05:35:07.154Z,4.5,mb,30,119,2.069,0.65,us,"166 km NW of Tobelo, Indonesia",us,us
2023-01-24T05:25:27.490Z,2.81,ml,48,205,,0.150000006,hv,"17 km E of Naalehu, Hawaii",hv,hv
2023-01-24T05:21:03.127Z,3,ml,,,,0.58,ak,"23 km SE of Kasilof, Alaska",ak,ak
2023-01-24T05:17:25.870Z,2.56,ml,10,132,,0.100000001,hv,"14 km N of Pāhala, Hawaii",hv,hv
2023-01-24T05:14:11.952Z,4.3,mb,27,120,1.941,0.52,us,"164 km NW of Tobelo, Indonesia",us,us
2023-01-24T05:04:39.347Z,4.5,mb,38,117,2.123,0.4,us,"170 km NW of Tobelo, Indonesia",us,us
2023-01-24T04:50:38.400Z,2.65,ml,13,225,0.1296,0.16,uw,"14 km W of Brookings, Oregon",uw,uw
2023-01-24T04:13:59.124Z,4.5,mb,24,123,1.993,0.57,us,"149 km NW of Tobelo, Indonesia",us,us
2023-01-24T04:05:37.756Z,4.4,mb,45,77,2.344,0.77,us,"259 km WNW of Haveluloto, Tonga",us,us
2023-01-24T04:02:54.571Z,4.9,mb,37,110,2.051,0.64,us,Molucca Sea,us,us
2023-01-24T03:38:37.033Z,4.5,mb,23,185,2.192,0.88,us,"167 km NW of Tobelo, Indonesia",us,us
2023-01-24T02:53:31.197Z,4.6,mb,33,127,2.14,0.72,us,"161 km NW of Tobelo, Indonesia",us,us
2023-01-24T02:30:04.742Z,5.4,mb,103,60,2.178,0.69,us,"167 km NW of Tobelo, Indonesia",us,us
2023-01-24T02:25:23.600Z,4.7,mb,27,124,2.104,0.6,us,"176 km NW of Tobelo, Indonesia",us,us
2023-01-24T02:19:41.540Z,2.65,ml,13,214,0.08348,0.05,uw,"9 km W of Brookings, Oregon",uw,uw
